,ExpNum,droneNum,CarNum,carDistance,droneDistance,time,NumPlaces
0,0.0,0.0,1.0,0.2947054694935649,0.0,3092.0,30.0
1,0.0,1.0,1.0,0.20763825942594488,0.18180252591615706,2238.0,30.0
2,0.0,2.0,1.0,0.16808447331141665,0.29589074065845894,1809.0,30.0
3,0.0,3.0,1.0,0.10294997268339087,0.48573675770484653,1510.0,30.0
4,0.0,4.0,1.0,0.15610774320543416,0.6796119130390772,1732.0,30.0
5,0.0,5.0,1.0,0.1419666827307432,0.6434462235530171,1559.0,30.0
6,0.0,0.0,2.0,0.4182841318058413,0.0,2828.0,30.0
7,1.0,0.0,1.0,0.33725907279677425,0.0,3521.0,30.0
8,1.0,1.0,1.0,0.15694658658642408,0.17723717524090643,1728.0,30.0
9,1.0,2.0,1.0,0.12690917731097956,0.2532421176252622,1415.0,30.0
10,1.0,3.0,1.0,0.09989346676456407,0.4409019097705527,1208.0,30.0
11,1.0,4.0,1.0,0.11016231392588766,0.40036541182690577,1191.0,30.0
12,1.0,5.0,1.0,0.08614799407997716,0.5981659337119629,1163.0,30.0
13,1.0,0.0,2.0,0.3628135798000459,0.0,2236.0,30.0
14,2.0,0.0,1.0,0.272555988414735,0.0,2885.0,30.0
15,2.0,1.0,1.0,0.20029138233776264,0.17763637125106263,2238.0,30.0
16,2.0,2.0,1.0,0.15003663629145303,0.3322125734811441,1630.0,30.0
17,2.0,3.0,1.0,0.10909172586003726,0.40954245332362516,1317.0,30.0
18,2.0,4.0,1.0,0.08576937891605832,0.4386219643891024,1155.0,30.0
19,2.0,5.0,1.0,0.08131347719498129,0.6141673629619155,1203.0,30.0
20,2.0,0.0,2.0,0.3119081914244139,0.0,1693.0,30.0
21,3.0,0.0,1.0,0.24015892696468447,0.0,2544.0,30.0
22,3.0,1.0,1.0,0.1428673382867298,0.171988973618463,1640.0,30.0
23,3.0,2.0,1.0,0.12742202798053065,0.23166359835255368,1417.0,30.0
24,3.0,3.0,1.0,0.09559663232233824,0.329082977713156,1234.0,30.0
25,3.0,4.0,1.0,0.07854642422192216,0.4641849361951669,1046.0,30.0
26,3.0,5.0,1.0,0.0687542224220061,0.4575063278033511,814.0,30.0
27,3.0,0.0,2.0,0.2589934839162247,0.0,1654.0,30.0
28,4.0,0.0,1.0,0.3042127274502543,0.0,3179.0,30.0
29,4.0,1.0,1.0,0.21327671018832423,0.15320822709492435,2258.0,30.0
30,4.0,2.0,1.0,0.14509918520686546,0.3277633929840558,1673.0,30.0
31,4.0,3.0,1.0,0.12410694403528859,0.34217712687346713,1378.0,30.0
32,4.0,4.0,1.0,0.09995348723002018,0.4843285577497001,1223.0,30.0
33,4.0,5.0,1.0,0.0892320290088433,0.46071391753858304,1166.0,30.0
34,4.0,0.0,2.0,0.3658296634853656,0.0,2296.0,30.0
35,5.0,0.0,1.0,0.2486930380014738,0.0,2629.0,30.0
36,5.0,1.0,1.0,0.17616409832290286,0.18631044266714036,1994.0,30.0
37,5.0,2.0,1.0,0.1563598885766197,0.2890253090561892,1749.0,30.0
38,5.0,3.0,1.0,0.1402098211757851,0.3596704581452895,1477.0,30.0
39,5.0,4.0,1.0,0.13452310462991493,0.3902646881345625,1582.0,30.0
40,5.0,5.0,1.0,0.1042878048929938,0.4535004440319829,1135.0,30.0
41,5.0,0.0,2.0,0.31635104528846913,0.0,1908.0,30.0
42,6.0,0.0,1.0,0.2453746911496857,0.0,2591.0,30.0
43,6.0,1.0,1.0,0.18947292812904903,0.15055083519599277,2006.0,30.0
44,6.0,2.0,1.0,0.15465054001341558,0.28212800613885586,1692.0,30.0
45,6.0,3.0,1.0,0.12572286222366394,0.3703782980970526,1389.0,30.0
46,6.0,4.0,1.0,0.09741619745159205,0.5421090314374681,1207.0,30.0
47,6.0,5.0,1.0,0.06833225297581434,0.6008165012351052,990.0,30.0
48,6.0,0.0,2.0,0.26730453537374,0.0,1506.0,30.0
49,7.0,0.0,1.0,0.2823644161471631,0.0,2977.0,30.0
50,7.0,1.0,1.0,0.18689820956065914,0.21401458511595084,2161.0,30.0
51,7.0,2.0,1.0,0.16592862119685628,0.3948734869653407,1782.0,30.0
52,7.0,3.0,1.0,0.10682298776599103,0.39701683900577805,1277.0,30.0
53,7.0,4.0,1.0,0.08205954009256561,0.5427919393728738,1182.0,30.0
54,7.0,5.0,1.0,0.07082616740524107,0.6007273340726147,943.0,30.0
55,7.0,0.0,2.0,0.32893390487103347,0.0,2160.0,30.0
56,8.0,0.0,1.0,0.21876544632139064,0.0,2309.0,30.0
57,8.0,1.0,1.0,0.14724428416503274,0.15618239477244256,1593.0,30.0
58,8.0,2.0,1.0,0.1255132257858893,0.23832592844769615,1365.0,30.0
59,8.0,3.0,1.0,0.104255331683284,0.31475603493731924,1108.0,30.0
